get,patch,upsert
1530.0,140.0,2.0
7181.0,140.0,2.0
7181.0,836.0,2.0
7181.0,834.0,2.0
6914.0,834.0,2.0
6914.0,834.0,2.0
6914.0,837.0,2.0
6914.0,837.0,2.0
7265.0,837.0,2.0
7265.0,837.0,1.0
6286.0,837.0,1.0
6286.0,687.0,1.0
6286.0,784.0,1.0
6677.0,784.0,1.0
6971.0,784.0,1.0
6971.0,793.0,1.0
6971.0,709.0,1.0
6166.0,709.0,1.0
6166.0,749.0,1.0
6526.0,749.0,1.0
6526.0,802.0,1.0
6526.0,802.0,1.0
7068.0,802.0,1.0
7068.0,790.0,1.0
6663.0,790.0,1.0
6663.0,790.0,1.0
6663.0,674.0,1.0
5907.0,674.0,1.0
5907.0,699.0,1.0
6063.0,699.0,1.0
6929.0,699.0,1.0
6929.0,810.0,1.0
6929.0,810.0,1.0
6929.0,776.0,1.0
6909.0,776.0,1.0
6909.0,741.0,1.0
6861.0,741.0,1.0
6861.0,848.0,1.0
6868.0,848.0,1.0
6888.0,848.0,1.0
6888.0,808.0,1.0
6888.0,759.0,1.0
6546.0,759.0,1.0
6623.0,759.0,1.0
6623.0,863.0,1.0
6267.0,863.0,1.0
6267.0,748.0,1.0
6487.0,748.0,1.0
6487.0,838.0,1.0
5920.0,838.0,1.0
5920.0,694.0,1.0
5920.0,946.0,1.0
7337.0,946.0,1.0
7337.0,705.0,1.0
6071.0,705.0,1.0
6071.0,855.0,1.0
6071.0,855.0,2.0
6765.0,855.0,2.0
6765.0,729.0,2.0
6134.0,729.0,2.0
6134.0,729.0,2.0
6134.0,826.0,2.0
6744.0,826.0,2.0
6744.0,765.0,2.0
6547.0,765.0,2.0
6547.0,765.0,1.0
6547.0,862.0,1.0
6895.0,862.0,1.0
6895.0,809.0,1.0
6624.0,809.0,1.0
6624.0,809.0,1.0
6624.0,825.0,1.0
6596.0,825.0,1.0
6596.0,825.0,1.0
6596.0,825.0,1.0
6596.0,825.0,1.0
6596.0,793.0,1.0
6596.0,793.0,1.0
6603.0,793.0,1.0
6603.0,808.0,1.0
6603.0,727.0,1.0
6522.0,727.0,1.0
6522.0,757.0,1.0
6211.0,757.0,1.0
6211.0,680.0,1.0
6029.0,680.0,1.0
6029.0,680.0,1.0
6029.0,680.0,1.0
6029.0,836.0,1.0
6554.0,836.0,1.0
6554.0,689.0,1.0
5881.0,689.0,1.0
6429.0,689.0,1.0
6429.0,689.0,1.0
6429.0,760.0,1.0
6429.0,722.0,1.0
6508.0,722.0,1.0
7055.0,722.0,1.0
7055.0,886.0,1.0
7055.0,886.0,1.0
